uniqueID,sentenceType,p_m1_given_w,p_m2_given_w
82,depunned,0.000147436619002,0.999852563381
83,depunned,0.237359001228,0.762640998772
84,depunned,0.733574628206,0.266425371794
85,depunned,0.712451398707,0.287548601293
86,depunned,0.838122841427,0.161877158573
87,depunned,0.982868278277,0.0171317217227
88,depunned,0.992042963685,0.00795703631496
89,depunned,0.406611814094,0.593388185906
90,depunned,0.238030171708,0.761969828292
91,depunned,0.194347596902,0.805652403098
92,depunned,0.999222170815,0.000777829185457
93,depunned,0.430283730788,0.569716269212
94,depunned,0.606330390843,0.393669609157
95,depunned,0.958579991661,0.0414200083387
96,depunned,0.958825325536,0.0411746744641
97,depunned,0.312993793371,0.687006206629
98,depunned,0.0274813803872,0.972518619613
99,depunned,0.0253534409624,0.974646559038
100,depunned,0.796521572583,0.203478427417
101,depunned,0.706076649771,0.293923350229
102,depunned,0.854182791155,0.145817208845
103,depunned,0.825954948883,0.174045051117
104,depunned,0.0108347668861,0.989165233114
105,depunned,0.774196229933,0.225803770067
106,nonpun,0.986760831329,0.0132391686707
107,nonpun,0.997950818019,0.00204918198067
108,nonpun,0.718328318079,0.281671681921
109,nonpun,0.173731442308,0.826268557692
110,nonpun,0.905472982987,0.0945270170127
111,nonpun,0.999818864314,0.000181135686055
112,nonpun,0.625917643884,0.374082356116
113,nonpun,0.997504908878,0.00249509112244
114,nonpun,0.204125186009,0.795874813991
115,nonpun,0.977746064188,0.0222539358117
116,nonpun,0.999996829899,3.1701011223e-06
117,nonpun,0.644919560224,0.355080439776
118,nonpun,0.315913663737,0.684086336263
119,nonpun,0.645107973208,0.354892026792
120,nonpun,0.981979161179,0.018020838821
121,nonpun,0.904379251665,0.0956207483347
122,nonpun,0.0043958348269,0.995604165173
123,nonpun,0.990932330595,0.00906766940544
124,nonpun,0.964432516689,0.0355674833113
125,nonpun,0.994951759014,0.00504824098612
126,nonpun,0.993541482902,0.00645851709799
127,nonpun,0.996866245517,0.00313375448301
128,nonpun,0.980632029023,0.0193679709771
129,nonpun,0.910967189215,0.0890328107848
130,nonpun,0.0717228570196,0.92827714298
131,nonpun,0.925249735011,0.0747502649889
132,nonpun,0.998796020059,0.00120397994126
133,nonpun,0.873444116828,0.126555883172
134,nonpun,0.963135222742,0.0368647772577
135,nonpun,0.929464681673,0.0705353183271
136,nonpun,0.999929530566,7.0469433888e-05
137,nonpun,0.991470835158,0.00852916484192
138,nonpun,0.117247518093,0.882752481907
139,nonpun,0.77103233575,0.22896766425
140,nonpun,0.715345236123,0.284654763877
141,nonpun,0.998145073212,0.00185492678791
142,nonpun,0.779882698158,0.220117301842
143,nonpun,0.829641909582,0.170358090418
144,nonpun,0.977227641697,0.0227723583026
145,nonpun,0.998729896891,0.00127010310876
146,nonpun,0.0709029457642,0.929097054236
