uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w
57,pun,0,0.819913578276,0.180086421724
58,pun,0,0.736912667871,0.263087332129
59,pun,0,0.9624245789,0.0375754211004
60,pun,0,0.2977226015,0.7022773985
61,pun,0,0.800097251201,0.199902748799
62,pun,0,0.715703212818,0.284296787182
63,pun,0,0.976502955829,0.0234970441708
64,pun,0,0.329809508904,0.670190491096
65,pun,0,0.0874442144929,0.912555785507
66,depunned,0,0.064629186892,0.935370813108
67,depunned,0,0.12462537634,0.87537462366
68,depunned,0,0.136276984639,0.863723015361
69,depunned,0,0.00111082987895,0.998889170121
70,depunned,0,0.0647725368087,0.935227463191
71,depunned,0,0.970437756977,0.029562243023
72,depunned,0,0.0172497447799,0.98275025522
73,depunned,0,0.720101151542,0.279898848458
74,depunned,0,0.0902826901809,0.909717309819
75,depunned,0,0.218744024563,0.781255975437
76,depunned,0,0.467972694506,0.532027305494
77,depunned,0,0.0676799953368,0.932320004663
78,depunned,0,0.0372068587087,0.962793141291
79,depunned,0,0.0189192952135,0.981080704787
80,depunned,0,0.066069404793,0.933930595207
81,depunned,0,0.220359986956,0.779640013044
82,depunned,0,0.00382191308453,0.996178086915
83,depunned,0,0.0528359874433,0.947164012557
84,depunned,0,0.457320529102,0.542679470898
85,depunned,0,0.207162082019,0.792837917981
86,depunned,0,0.46708039077,0.53291960923
87,depunned,0,0.910641436641,0.0893585633593
88,depunned,0,0.805562219707,0.194437780293
89,depunned,0,0.229579627868,0.770420372132
90,depunned,0,0.34150317397,0.65849682603
91,depunned,0,0.0569510295449,0.943048970455
92,depunned,0,0.907358492375,0.0926415076253
93,depunned,0,0.431138876181,0.568861123819
94,depunned,0,0.725503628021,0.274496371979
95,depunned,0,0.936749010227,0.063250989773
96,depunned,0,0.0161897913825,0.983810208618
97,depunned,0,0.0876942052201,0.91230579478
98,depunned,0,0.525251990652,0.474748009348
99,depunned,0,0.0445439550023,0.955456044998
100,depunned,0,0.380830060639,0.619169939361
101,depunned,0,0.14353947838,0.85646052162
102,depunned,0,0.598299132375,0.401700867625
103,depunned,0,0.185853922052,0.814146077948
104,depunned,0,0.546022002167,0.453977997833
105,depunned,0,0.0704299757026,0.929570024297
106,nonpun,0,0.996880224519,0.00311977548051
