uniqueID,sentenceType,p_m1_given_w,p_m2_given_w
133,nonpun,0.987967700695,0.0120322993046
134,nonpun,0.996317170403,0.00368282959746
135,nonpun,0.981303461043,0.0186965389568
136,nonpun,0.997323637363,0.00267636263653
137,nonpun,0.998858871033,0.00114112896716
138,nonpun,0.991743142773,0.00825685722669
139,nonpun,0.992109073874,0.00789092612641
140,nonpun,0.887379627724,0.112620372276
141,nonpun,0.999396190986,0.000603809013782
142,nonpun,0.880797077978,0.119202922022
143,nonpun,0.568549231198,0.431450768802
144,nonpun,0.99976877595,0.000231224050069
145,nonpun,0.994903659897,0.00509634010298
146,nonpun,0.985395672837,0.0146043271629
147,nonpun,0.991476914981,0.00852308501926
148,nonpun,0.997554167967,0.00244583203345
149,nonpun,0.880797077978,0.119202922022
150,nonpun,0.83373624758,0.16626375242
151,nonpun,0.880797077978,0.119202922022
152,nonpun,0.955409388104,0.0445906118962
153,nonpun,0.880797077978,0.119202922022
154,nonpun,0.998372447245,0.001627552755
155,nonpun,0.954089624159,0.0459103758407
156,nonpun,0.831483919384,0.168516080616
157,nonpun,0.880797077978,0.119202922022
158,nonpun,0.972839725494,0.0271602745055
159,nonpun,0.983296736067,0.016703263933
160,nonpun,0.88330473222,0.11669526778
161,nonpun,0.880797077978,0.119202922022
162,nonpun,0.994653565936,0.00534643406404
163,nonpun,0.959073495907,0.0409265040933
164,nonpun,0.94741711515,0.05258288485
165,nonpun,0.956836456851,0.0431635431488
166,nonpun,0.962540059467,0.0374599405325
167,nonpun,0.820481272823,0.179518727177
168,nonpun,0.977453405387,0.022546594613
169,nonpun,0.988961113974,0.011038886026
170,nonpun,0.909888849602,0.0901111503975
171,nonpun,0.999567795835,0.000432204164829
172,nonpun,0.988885219031,0.0111147809685
173,nonpun,0.940987771103,0.0590122288966
174,nonpun,0.877828333132,0.122171666868
175,nonpun,0.997666160606,0.00233383939383
176,nonpun,0.946658640084,0.053341359916
177,nonpun,0.990293530128,0.00970646987183
178,nonpun,0.880797077978,0.119202922022
179,nonpun,0.99646662944,0.00353337056029
180,nonpun,0.908911197951,0.0910888020492
181,nonpun,0.969505947096,0.0304940529042
182,nonpun,0.986838661927,0.0131613380726
183,nonpun,0.949352482396,0.0506475176045
184,nonpun,0.997141200378,0.00285879962213
185,nonpun,0.997330373357,0.00266962664294
186,nonpun,0.982963100564,0.0170368994361
187,nonpun,0.98911264471,0.0108873552902
188,nonpun,0.905749398123,0.0942506018768
189,nonpun,0.938198826028,0.0618011739718
190,nonpun,0.933121393901,0.0668786060995
191,nonpun,0.946226664358,0.0537733356418
192,nonpun,0.870797704269,0.129202295731
193,nonpun,0.988967842054,0.0110321579461
194,nonpun,0.968554217294,0.0314457827063
195,nonpun,0.986677059318,0.0133229406823
196,nonpun,0.961531197904,0.0384688020958
197,nonpun,0.90366973243,0.0963302675702
198,nonpun,0.960491580943,0.0395084190572
199,nonpun,0.942844527203,0.0571554727969
200,nonpun,0.871225955558,0.128774044442
201,nonpun,0.99884584735,0.00115415265048
202,nonpun,0.957750966787,0.0422490332133
203,nonpun,0.975152839676,0.0248471603244
204,nonpun,0.994361415462,0.00563858453824
205,nonpun,0.998249501103,0.00175049889676
206,nonpun,0.902303716279,0.0976962837207
207,nonpun,0.999706729719,0.000293270281325
208,nonpun,0.997826723841,0.00217327615925
209,nonpun,0.937449951027,0.0625500489727
210,nonpun,0.964680961602,0.0353190383979
211,nonpun,0.880797077978,0.119202922022
212,nonpun,0.991117511088,0.0088824889118
213,nonpun,0.987243743428,0.012756256572
214,nonpun,0.935668812722,0.0643311872777
215,nonpun,0.993173817592,0.00682618240773
216,nonpun,0.970268541728,0.0297314582719
217,nonpun,0.928141292241,0.0718587077591
218,nonpun,0.880797077978,0.119202922022
219,nonpun,0.894147202262,0.105852797738
220,nonpun,0.811890670475,0.188109329525
221,nonpun,0.999914916621,8.5083378818e-05
222,nonpun,0.984865910987,0.0151340890132
223,nonpun,0.99486938137,0.0051306186299
224,nonpun,0.906444519272,0.0935554807285
225,nonpun,0.969651866143,0.0303481338568
226,nonpun,0.898940859267,0.101059140733
227,nonpun,0.981870315651,0.0181296843488
228,nonpun,0.880797077978,0.119202922022
229,nonpun,0.921788613473,0.0782113865273
230,nonpun,0.99925027544,0.000749724559608
231,nonpun,0.985846616011,0.0141533839888
232,nonpun,0.99785237599,0.0021476240102
233,nonpun,0.984796444133,0.015203555867
234,nonpun,0.984741820083,0.0152581799166
235,nonpun,0.996073324169,0.00392667583137
