uniqueID,sentenceType,isOrig,KL
80,depunned,0,9.88154815199e-35
81,depunned,0,6.63231258122e-35
82,depunned,0,1.40162613907e-34
83,depunned,0,1.15125018205e-34
84,depunned,0,6.92028339141e-35
85,depunned,0,7.81749644157e-35
86,depunned,0,5.41538925993e-35
87,depunned,0,6.74191338443e-35
88,depunned,0,1.30366147093e-34
89,depunned,0,6.87848866753e-35
90,depunned,0,5.81365932541e-35
91,depunned,0,1.15866147971e-34
92,depunned,0,1.18644976231e-34
93,depunned,0,9.19537312137e-35
94,depunned,0,7.02747268104e-35
95,depunned,0,1.72788545586e-34
96,depunned,0,1.77067755981e-34
97,depunned,0,1.94193572105e-34
98,depunned,0,1.65741667797e-34
99,depunned,0,1.07409763363e-34
100,depunned,0,8.57905936999e-35
101,depunned,0,8.55379691314e-35
102,depunned,0,6.40034379872e-35
103,depunned,0,1.09349775748e-34
104,depunned,0,2.41161635952e-34
105,depunned,0,9.8429150984e-35
106,nonpun,0,1.44672250024e-34
107,nonpun,0,1.46930824611e-34
108,nonpun,0,1.85659797199e-34
109,nonpun,0,1.97925488249e-34
110,nonpun,0,1.26994377499e-34
111,nonpun,0,1.34297920241e-34
112,nonpun,0,9.42997312777e-35
113,nonpun,0,1.57211279588e-34
114,nonpun,0,6.43520688139e-35
115,nonpun,0,5.68088461591e-35
116,nonpun,0,1.55419744757e-34
117,nonpun,0,1.04632914625e-34
118,nonpun,0,6.47165219572e-35
119,nonpun,0,9.23187334233e-35
120,nonpun,0,1.33736371223e-34
121,nonpun,0,1.01200317706e-34
122,nonpun,0,7.79801439342e-35
123,nonpun,0,1.51481189854e-34
124,nonpun,0,1.38521417071e-34
125,nonpun,0,1.23228850535e-34
126,nonpun,0,1.45051130336e-34
127,nonpun,0,1.05454805213e-34
128,nonpun,0,1.27728864743e-34
129,nonpun,0,9.30276819846e-35
130,nonpun,0,1.45939308453e-34
131,nonpun,0,1.36050855212e-34
132,nonpun,0,1.27056541658e-34
133,nonpun,0,9.22320489417e-35
134,nonpun,0,1.04262735358e-34
135,nonpun,0,1.04626405337e-34
136,nonpun,0,1.04285487959e-34
137,nonpun,0,1.74613071353e-34
138,nonpun,0,1.67850165825e-34
139,nonpun,0,1.77361057643e-34
140,nonpun,0,5.09696388953e-35
141,nonpun,0,2.14407250717e-34
142,nonpun,0,1.142396081e-34
143,nonpun,0,1.11110592499e-34
144,nonpun,0,2.81617537737e-34
145,nonpun,0,1.87367779204e-34
146,nonpun,0,1.77054731901e-34
147,nonpun,0,1.23063788225e-34
148,nonpun,0,1.62903984017e-34
149,nonpun,0,1.0619569759e-34
150,nonpun,0,1.27159510411e-34
151,nonpun,0,8.26450992733e-35
152,nonpun,0,9.83594708906e-35
153,nonpun,0,9.91445866577e-35
154,nonpun,0,1.70187341581e-34
155,nonpun,0,8.5876936951e-35
156,nonpun,0,9.77854732789e-35
157,nonpun,0,6.4049805399e-35
158,nonpun,0,7.39745160293e-35
159,nonpun,0,1.08284943574e-34
160,nonpun,0,5.59109635686e-35
161,nonpun,0,5.2472821666e-35
162,nonpun,0,1.43473742392e-34
163,nonpun,0,9.17248308738e-35
164,nonpun,0,1.11643463517e-34
165,nonpun,0,1.24144590675e-34
166,nonpun,0,8.08544605556e-35
167,nonpun,0,9.81893918721e-35
168,nonpun,0,1.09775773249e-34
169,nonpun,0,1.14856440753e-34
170,nonpun,0,9.23762617152e-35
171,nonpun,0,2.19157268051e-34
172,nonpun,0,1.6790377655e-34
173,nonpun,0,7.02537906661e-35
174,nonpun,0,5.1282539116e-35
175,nonpun,0,1.84335862201e-34
176,nonpun,0,6.57146354638e-35
177,nonpun,0,1.25484688514e-34
178,nonpun,0,6.72411910397e-35
179,nonpun,0,1.64914002199e-34
180,nonpun,0,5.40932897867e-35
181,nonpun,0,1.25917709788e-34
182,nonpun,0,1.48825989818e-34
183,nonpun,0,7.94813045111e-35
184,nonpun,0,1.804247355e-34
185,nonpun,0,1.24972147848e-34
186,nonpun,0,9.93456969724e-35
187,nonpun,0,1.65533019946e-34
188,nonpun,0,1.11098861144e-34
189,nonpun,0,6.61167851723e-35
190,nonpun,0,6.25161783552e-35
191,nonpun,0,1.18968555299e-34
192,nonpun,0,6.38352696785e-35
193,nonpun,0,1.36484986207e-34
194,nonpun,0,8.58372575244e-35
195,nonpun,0,1.66258092323e-34
196,nonpun,0,7.23532152721e-35
197,nonpun,0,5.50833424621e-35
198,nonpun,0,6.79041026303e-35
199,nonpun,0,7.2792786508e-35
200,nonpun,0,5.11240393982e-35
201,nonpun,0,1.84853054264e-34
202,nonpun,0,6.15999444232e-35
203,nonpun,0,1.1389740926e-34
204,nonpun,0,1.26294959487e-34
205,nonpun,0,1.49900669822e-34
206,nonpun,0,5.26605592266e-35
207,nonpun,0,2.42829284651e-34
208,nonpun,0,1.98333690524e-34
209,nonpun,0,5.88737384515e-35
210,nonpun,0,1.17079046645e-34
211,nonpun,0,5.31061243077e-35
212,nonpun,0,9.9120408442e-35
213,nonpun,0,9.5073767337e-35
214,nonpun,0,6.1711694579e-35
215,nonpun,0,1.19946904964e-34
216,nonpun,0,1.09150084037e-34
217,nonpun,0,6.38300568652e-35
218,nonpun,0,9.90111211849e-35
219,nonpun,0,5.48705912243e-35
220,nonpun,0,7.06368291109e-35
221,nonpun,0,2.18868098269e-34
222,nonpun,0,1.17328206019e-34
223,nonpun,0,1.21844453271e-34
224,nonpun,0,5.95367970853e-35
225,nonpun,0,8.88810111653e-35
226,nonpun,0,1.02571332091e-34
227,nonpun,0,8.5878917144e-35
228,nonpun,0,7.72181081437e-35
229,nonpun,0,5.79263063662e-35
230,nonpun,0,1.70255075553e-34
231,nonpun,0,1.15979738684e-34
232,nonpun,0,1.67070884836e-34
233,nonpun,0,1.75807842441e-34
234,nonpun,0,9.61428031074e-35
235,nonpun,0,1.45303499126e-34
