uniqueID,sentenceType,isOrig,p_m1_given_w,p_m2_given_w,entropy
208,nonpun,0,0.999999995777,4.22348305207e-09,8.56632412945e-08
209,nonpun,0,0.999978777705,2.12222951426e-05,0.00024958369125
210,nonpun,0,0.996777580488,0.0032224195123,0.0217062495984
211,nonpun,0,0.999995800777,4.19922309785e-06,5.6188162069e-05
212,nonpun,0,0.999971485895,2.8514104654e-05,0.000326916988152
213,nonpun,0,0.999594415765,0.00040558423472,0.00357318865386
214,nonpun,0,0.999967315301,3.26846985805e-05,0.000370271457333
215,nonpun,0,0.999928919463,7.10805373754e-05,0.000750017766314
216,nonpun,0,0.999973875796,2.61242042384e-05,0.000301803402651
217,nonpun,0,0.920694307186,0.0793056928136,0.277070349101
218,nonpun,0,0.999612527956,0.000387472044135,0.00343132575627
219,nonpun,0,0.999988741225,1.12587754784e-05,0.000139545283354
220,nonpun,0,0.999576100501,0.000423899499089,0.00371581915388
221,nonpun,0,0.999999992356,7.64371203353e-09,1.50499969756e-07
222,nonpun,0,0.99998478373,1.52162695649e-05,0.000184012443559
223,nonpun,0,0.999759470107,0.000240529893395,0.00224475627156
224,nonpun,0,0.999978702589,2.12974110622e-05,0.000250391838592
225,nonpun,0,0.999999999969,3.111707051e-11,7.83940627956e-10
226,nonpun,0,0.999987494223,1.25057770172e-05,0.000153687415653
227,nonpun,0,0.999655052235,0.000344947765476,0.00309485240149
228,nonpun,0,0.999980930799,1.90692014424e-05,0.000226302346143
229,nonpun,0,0.999957377856,4.26221437465e-05,0.000471533691543
230,nonpun,0,0.999999756712,2.43287572482e-07,3.94831925557e-06
231,nonpun,0,0.999957645205,4.23547953564e-05,0.000468842499291
232,nonpun,0,0.999999602018,3.97982126492e-07,6.26298842672e-06
233,nonpun,0,0.999992724275,7.27572482166e-06,9.33545594783e-05
234,nonpun,0,0.999512393105,0.000487606895435,0.00420597867727
235,nonpun,0,0.999941529484,5.84705163538e-05,0.000628380223773
