uniqueID,sentenceType,isOrig,KL,minKL
78,depunned,0,2.90227282235e-34,1.11654708723e-34
79,depunned,0,3.30295897524e-34,1.29336099221e-34
80,depunned,0,2.88626103949e-34,1.02050501417e-34
81,depunned,0,2.5077322677e-34,3.72294668471e-35
82,depunned,0,3.36794600503e-34,1.66715688264e-34
83,depunned,0,3.07626354178e-34,9.6326108547e-35
84,depunned,0,2.54128023143e-34,1.08126363468e-35
85,depunned,0,2.64580357131e-34,5.12653824933e-35
86,depunned,0,2.36596338695e-34,7.6027733754e-36
87,depunned,0,2.52050051934e-34,-1.47992991402e-35
88,depunned,0,3.25381932907e-34,6.01084631981e-36
89,depunned,0,2.53641123836e-34,3.99306963155e-35
90,depunned,0,2.41236097045e-34,2.49287873295e-35
91,depunned,0,3.08489753996e-34,1.00805359996e-34
92,depunned,0,3.1172702758e-34,-9.54210084307e-36
93,depunned,0,2.80632316305e-34,5.18884551423e-35
94,depunned,0,2.55376754707e-34,-4.4291737167e-36
95,depunned,0,2.59968931542e-34,1.98252100616e-35
96,depunned,0,3.79788276392e-34,1.70593493818e-34
97,depunned,0,3.99739474151e-34,1.38382613574e-34
98,depunned,0,3.66593633665e-34,7.68065685401e-35
99,depunned,0,2.9863825259e-34,1.07212950796e-34
100,depunned,0,2.73452397143e-34,1.52685887246e-35
101,depunned,0,2.73158095097e-34,4.84528791009e-35
102,depunned,0,2.48070841657e-34,-1.58648965417e-37
103,depunned,0,3.00898324196e-34,5.32275399267e-35
104,depunned,0,4.54456231782e-34,1.02394183707e-34
105,depunned,0,2.88176037402e-34,9.33526202301e-35
106,nonpun,0,3.42048227036e-34,-4.55578705913e-35
107,nonpun,0,3.44679416575e-34,-4.75988025312e-35
108,nonpun,0,3.89797814755e-34,-2.77311968498e-35
109,nonpun,0,4.04087074081e-34,-3.31764736453e-35
110,nonpun,0,3.21453895756e-34,-3.25601742862e-35
111,nonpun,0,3.29962361837e-34,-3.24378373972e-35
112,nonpun,0,2.83365354595e-34,-4.62897890642e-35
113,nonpun,0,3.56655919697e-34,-1.08220535896e-35
114,nonpun,0,2.48476988875e-34,-1.65523386201e-35
115,nonpun,0,2.39689300988e-34,-8.48639671792e-36
116,nonpun,0,3.54568821165e-34,-4.31188685788e-35
117,nonpun,0,2.95403285105e-34,-3.56051927964e-35
118,nonpun,0,2.48901568742e-34,-2.49861358229e-35
119,nonpun,0,2.81057535822e-34,-4.30582792657e-35
120,nonpun,0,3.29308169625e-34,-2.03492854476e-35
121,nonpun,0,2.91404385463e-34,-1.63988430375e-35
122,nonpun,0,2.6435339557e-34,6.19913399105e-35
123,nonpun,0,3.4998049164e-34,-2.64470271275e-35
124,nonpun,0,3.34882642416e-34,-1.73825010345e-35
125,nonpun,0,3.17067139962e-34,-3.62100812716e-35
126,nonpun,0,3.42489614237e-34,-5.09175947833e-35
127,nonpun,0,2.96360769497e-34,-3.53799969427e-35
128,nonpun,0,3.22309557184e-34,-1.94976809099e-35
129,nonpun,0,2.81883445247e-34,-4.5804390065e-35
130,nonpun,0,3.43524322138e-34,5.3433590975e-35
131,nonpun,0,3.32004492384e-34,-3.40487717556e-35
132,nonpun,0,3.2152631563e-34,-1.78458534984e-35
133,nonpun,0,2.80956550315e-34,-1.99668760563e-35
134,nonpun,0,2.9497203443e-34,-3.64481320361e-35
135,nonpun,0,2.95395701929e-34,-9.08968164879e-36
136,nonpun,0,2.94998540708e-34,-3.97837450095e-35
137,nonpun,0,3.76928622985e-34,-3.47859535876e-35
138,nonpun,0,3.69049987326e-34,-2.92835268132e-35
139,nonpun,0,3.80129966355e-34,1.86279231822e-36
140,nonpun,0,2.32886753417e-34,-9.21617073192e-37
141,nonpun,0,4.23287963546e-34,-3.73241549731e-35
142,nonpun,0,3.06594870949e-34,-7.41059873957e-36
143,nonpun,0,3.02949636843e-34,7.74439707944e-35
144,nonpun,0,5.01586464357e-34,-4.16951461391e-35
145,nonpun,0,3.9178757609e-34,-2.65446229737e-35
146,nonpun,0,3.79773103627e-34,-1.41897524214e-35
147,nonpun,0,3.16874846014e-34,-6.07566741326e-36
148,nonpun,0,3.63287794699e-34,-2.97842052721e-35
149,nonpun,0,2.97223892763e-34,-1.1631299431e-35
150,nonpun,0,3.21646271955e-34,1.42899914391e-36
151,nonpun,0,2.69787965569e-34,-1.44776030168e-35
152,nonpun,0,2.88094861631e-34,-1.76861187192e-35
153,nonpun,0,2.8900950417e-34,-8.43295513471e-36
154,nonpun,0,3.71772745492e-34,-5.20569215564e-36
155,nonpun,0,2.73552985125e-34,-1.34531346874e-35
