uniqueID,sentenceType,isOrig,maxPm1,maxPm2,numWordsM1,numWordsM2,numWords
52,pun,0,1.41550720297e-28,2.25343523127e-28,3,1,5
53,pun,0,1.48127306977e-17,1.1068338739e-19,3,1,4
54,pun,0,4.64714882526e-24,2.49790003362e-24,5,2,5
55,pun,0,8.83249655763e-20,4.15486069691e-13,2,2,3
56,pun,0,9.00078407082e-19,7.95434731906e-20,4,1,6
57,pun,0,7.33079006037e-24,4.1632226706e-27,3,1,7
58,pun,0,5.48865869588e-14,4.68248667057e-13,2,1,4
59,pun,0,3.23268478461e-27,9.7542055481e-31,3,0,5
60,pun,0,7.50593208942e-13,1.1321293972e-15,2,2,4
61,pun,0,2.378300952e-16,1.11329055201e-16,2,1,4
62,pun,0,2.39681309513e-22,2.15156316791e-22,3,1,5
63,pun,0,1.15713004738e-23,1.97660181135e-28,4,0,6
64,pun,0,8.26921057597e-18,3.48076669247e-17,2,2,4
65,pun,0,4.35641014607e-21,1.6543038912e-24,3,3,9
66,depunned,0,2.65553460073e-26,1.19122224906e-25,2,2,4
67,depunned,0,2.95503863338e-21,1.14652232881e-24,1,2,4
68,depunned,0,4.53146925357e-37,1.14315605813e-34,3,3,7
69,depunned,0,1.00673074445e-31,1.60297914641e-26,1,4,6
70,depunned,0,4.87188455876e-25,4.68776791775e-26,2,3,5
71,depunned,0,1.70458510406e-19,2.93419727551e-32,4,1,6
72,depunned,0,2.40981065144e-23,8.61837273824e-24,1,2,4
73,depunned,0,8.0016292552e-09,2.37776041962e-17,2,0,4
74,depunned,0,6.49196405313e-29,1.05662523486e-30,1,1,6
75,depunned,0,1.16777503877e-25,9.51293744532e-29,2,3,6
76,depunned,0,2.07658542667e-22,3.42049321311e-30,2,0,5
77,depunned,0,1.99069361002e-29,2.0225889527e-27,1,1,6
78,depunned,0,1.57536424941e-31,8.48239150886e-32,1,3,6
79,depunned,0,1.50377432985e-27,7.87699336801e-26,1,3,4
