uniqueID,sentenceType,isOrig,maxPm1,maxPm2,numWordsM1,numWordsM2
31,pun,m1,6.10815729294e+129,5.90547040031e+127,7,7
32,pun,m1,2.68591971788e+93,1.49555686607e+85,5,5
33,pun,m1,6.64756828544e+121,9.94771445846e+118,7,7
34,pun,m1,4.60961043821e+84,8.48664646157e+79,5,5
35,pun,m1,4.64474245187e+123,1.04176758436e+121,7,7
36,pun,m1,2.56129565944e+194,1.27505814254e+186,11,11
37,pun,m1,9.34981290257e+194,3.32881360676e+186,11,11
38,pun,m1,1.80131100968e+76,8.15581356077e+69,4,4
39,pun,m1,8.07906283789e+132,1.07426128117e+125,7,7
40,pun,m1,1.67878624189e+103,7.96617888775e+99,6,6
41,pun,m1,4.66317829261e+141,1.18744850257e+136,8,8
42,pun,m1,8.79577170343e+90,1.2548512704e+79,5,5
43,pun,m1,5.73153695831e+70,3.53147170036e+64,4,4
44,pun,m1,2.83854666678e+105,2.2870465946e+97,6,6
45,pun,m1,3.45419582598e+150,8.64570879713e+151,9,9
46,pun,m1,2.76216257679e+75,1.02625204289e+70,4,4
47,pun,m1,1.26752671334e+115,1.53481520372e+104,6,6
48,pun,m1,5.14427760749e+120,8.59732412314e+112,7,7
49,pun,m1,8.27654150955e+107,9.09687521651e+106,6,6
50,pun,m1,1.93109175868e+53,1.47094496161e+41,3,3
51,pun,m1,9.89706841698e+105,4.91566787357e+105,6,6
52,pun,m1,3.53455751463e+102,2.74210120872e+101,6,6
53,pun,m1,6.60026911054e+120,8.29983745371e+120,7,7
54,pun,m1,1.11069096175e+54,1.75057142711e+53,3,3
55,pun,m1,1.02816019226e+113,9.55883095948e+111,6,6
56,pun,m1,1.17049552465e+103,6.10506802177e+97,6,6
57,pun,m1,1.40747092543e+123,8.86178608835e+117,7,7
58,pun,m1,7.9084583662e+144,7.81329074459e+145,8,8
59,pun,m1,2.9398462025e+171,1.53698107031e+177,10,10
60,pun,m1,1.09605524823e+119,1.15794874541e+119,7,7
61,pun,m1,1.10309035179e+68,4.32580195331e+59,4,4
62,pun,m1,1.83874780727e+176,2.91746326164e+173,10,10
63,pun,m1,6.77968106529e+144,1.98102805908e+139,8,8
64,pun,m1,5.0174287444e+71,9.67317437038e+69,4,4
65,pun,m1,1.4044074988e+157,2.96030379831e+151,9,9
66,pun,m1,7.39502616678e+172,1.45419423266e+159,10,10
67,pun,m1,4.14593112385e+70,1.73755762686e+70,4,4
68,pun,m1,7.37623509261e+168,4.38213443801e+165,10,10
69,pun,m1,2.17575308576e+174,1.44459841122e+165,10,10
70,pun,m1,7.23076656504e+90,3.11780247728e+85,5,5
71,pun,m1,1.08576662455e+57,6.83719334136e+47,3,3
72,pun,m1,9.53860282135e+70,4.88509127606e+66,4,4
73,pun,m1,6.66524910045e+102,2.34288737464e+101,6,6
74,pun,m1,1.72806731855e+183,1.40077895178e+179,10,10
75,pun,m1,7.65130273224e+38,1.37377449764e+36,2,2
76,pun,m1,2.97730667013e+189,1.36654667895e+181,10,10
77,pun,m1,1.05329524761e+71,9.27133826292e+65,4,4
78,pun,m1,3.82677638643e+89,1.69133282065e+83,5,5
79,pun,m1,2.71250490572e+145,4.38965149885e+143,8,8
80,pun,m1,2.51906308725e+143,6.13154157052e+142,8,8
161,nonpun,m1,1.67248941601e+113,4.38295506263e+104,6,6
162,nonpun,m1,6.34387046368e+74,4.00531905503e+66,4,4
163,nonpun,m1,4.79963591159e+88,2.6913868379e+78,5,5
164,nonpun,m1,3.43010177474e+82,1.80893998185e+73,5,5
165,nonpun,m1,2.46113464233e+76,1.30402992567e+64,4,4
166,nonpun,m1,6.64344107325e+70,3.76540376192e+65,4,4
167,nonpun,m1,2.19040889818e+100,2.22641734773e+93,6,6
168,nonpun,m1,2.94308720979e+83,7.96046002568e+79,5,5
169,nonpun,m1,1.69299556706e+53,5.44921265253e+48,3,3
170,nonpun,m1,3.91221771993e+31,5.88022499441e+20,2,2
171,nonpun,m1,9.10094038923e+54,2.37808214824e+46,3,3
172,nonpun,m1,1.27479167042e+151,1.36764402444e+145,8,8
173,nonpun,m1,1.03853796794e+55,3.87936816818e+47,3,3
174,nonpun,m1,6.30336571847e+90,1.60971069819e+84,5,5
175,nonpun,m1,1.70559419397e+98,1.22193364264e+86,5,5
176,nonpun,m1,1.49959252993e+77,3.21757448645e+69,4,4
177,nonpun,m1,2.05094410763e+53,2.17062519932e+43,3,3
178,nonpun,m1,1.44521312553e+72,4.4270704598e+65,4,4
179,nonpun,m1,6.8011100789e+51,8.37466036503e+45,3,3
180,nonpun,m1,1.23305878957e+36,1.00306204341e+31,2,2
181,nonpun,m1,1.7470140489e+57,5.41412175635e+45,3,3
182,nonpun,m1,4.6261942985e+56,9.42523088863e+46,3,3
183,nonpun,m1,3.09404006231e+73,1.15895492573e+66,4,4
184,nonpun,m1,1.25961485277e+170,9.7182278178e+155,9,9
185,nonpun,m1,9.02872557098e+97,5.98347431735e+85,5,5
186,nonpun,m1,6.46280987458e+84,3.32355841832e+79,5,5
187,nonpun,m1,5.95975116594e+115,2.2963184985e+105,6,6
188,nonpun,m1,2.5604771025e+91,9.71111833694e+83,5,5
189,nonpun,m1,1.22332265972e+53,1.82299052775e+41,3,3
190,nonpun,m1,3.35617061687e+89,2.58695191052e+83,5,5
191,nonpun,m1,9.37567954668e+94,1.02450068097e+90,5,5
192,nonpun,m1,1.19249990862e+92,2.26107268162e+84,5,5
193,nonpun,m1,6.75654565735e+105,1.14374952876e+100,6,6
194,nonpun,m1,4.52907785205e+70,1.10820108482e+57,4,4
195,nonpun,m1,3.05290451211e+92,9.10784178615e+88,5,5
196,nonpun,m1,2.20244265621e+71,2.17844358572e+61,4,4
197,nonpun,m1,7.93455372635e+72,4.89256459987e+61,4,4
198,nonpun,m1,1.81564417693e+68,7.40241672031e+60,4,4
199,nonpun,m1,7.46684757653e+76,1.93903218545e+67,4,4
200,nonpun,m1,8.39820451852e+158,1.74955334875e+150,9,9
201,nonpun,m1,7.75180306748e+95,5.52921397687e+85,5,5
202,nonpun,m1,9.11859822592e+123,2.06323048031e+111,7,7
203,nonpun,m1,4.09054318271e+106,7.87335770553e+96,6,6
204,nonpun,m1,4.37029072586e+79,1.23337887575e+67,4,4
205,nonpun,m1,1.83636122679e+54,5.24466202602e+51,3,3
206,nonpun,m1,3.42706220972e+73,1.10920925679e+63,4,4
207,nonpun,m1,5.28399231389e+60,2.32876227315e+44,3,3
208,nonpun,m1,3.93604948106e+87,1.07361472874e+78,5,5
209,nonpun,m1,2.72912374206e+74,1.80541364381e+70,4,4
210,nonpun,m1,7.09577292638e+82,1.70102692112e+66,4,4
211,nonpun,m1,1.17353457714e+90,1.89210569595e+78,5,5
212,nonpun,m1,1.00307112623e+91,2.23656910509e+86,5,5
213,nonpun,m1,1.17735147837e+121,1.17311663591e+124,7,7
