uniquePairID,uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,dummy
40,107,107,2-a,2,nonpun,0,pi,up,1
41,67,67,2-a,2,depunned,0,pi,waistline,1
42,172,172,2-b,2,nonpun,0,pie,apple,1
43,237,2,2-b,2,pun,1,pie,circumference,1
44,342,107,2-b,2,nonpun,1,pie,decimal,1
45,172,172,2-b,2,nonpun,0,pie,dessert,1
46,237,2,2-b,2,pun,1,pie,get,1
46,302,67,2-b,2,depunned,1,pie,get,1
47,237,2,2-b,2,pun,1,pie,large,1
47,302,67,2-b,2,depunned,1,pie,large,1
48,172,172,2-b,2,nonpun,0,pie,like,1
49,342,107,2-b,2,nonpun,1,pie,number,1
50,342,107,2-b,2,nonpun,1,pie,places,1
51,342,107,2-b,2,nonpun,1,pie,recite,1
52,342,107,2-b,2,nonpun,1,pie,ten,1
53,342,107,2-b,2,nonpun,1,pie,up,1
54,302,67,2-b,2,depunned,1,pie,waistline,1
55,3,3,3-a,3,pun,0,knead,bakers,1
55,108,108,3-a,3,nonpun,0,knead,bakers,1
56,3,3,3-a,3,pun,0,knead,basis,1
56,68,68,3-a,3,depunned,0,knead,basis,1
57,3,3,3-a,3,pun,0,knead,bread,1
57,108,108,3-a,3,nonpun,0,knead,bread,1
58,68,68,3-a,3,depunned,0,knead,cake,1
59,408,173,3-a,3,nonpun,1,knead,company,1
60,408,173,3-a,3,nonpun,1,knead,computer,1
61,108,108,3-a,3,nonpun,0,knead,dough,1
62,108,108,3-a,3,nonpun,0,knead,flour,1
63,3,3,3-a,3,pun,0,knead,know,1
63,68,68,3-a,3,depunned,0,knead,know,1
64,108,108,3-a,3,nonpun,0,knead,make,1
65,108,108,3-a,3,nonpun,0,knead,milk,1
66,68,68,3-a,3,depunned,0,knead,mothers,1
67,408,173,3-a,3,nonpun,1,knead,programmers,1
68,3,3,3-a,3,pun,0,knead,recipes,1
68,68,68,3-a,3,depunned,0,knead,recipes,1
69,108,108,3-a,3,nonpun,0,knead,together,1
70,3,3,3-a,3,pun,0,knead,trade,1
70,68,68,3-a,3,depunned,0,knead,trade,1
71,238,3,3-b,3,pun,1,need,bakers,1
71,343,108,3-b,3,nonpun,1,need,bakers,1
72,238,3,3-b,3,pun,1,need,basis,1
72,303,68,3-b,3,depunned,1,need,basis,1
73,238,3,3-b,3,pun,1,need,bread,1
73,343,108,3-b,3,nonpun,1,need,bread,1
74,303,68,3-b,3,depunned,1,need,cake,1
75,173,173,3-b,3,nonpun,0,need,company,1
76,173,173,3-b,3,nonpun,0,need,computer,1
77,343,108,3-b,3,nonpun,1,need,dough,1
78,343,108,3-b,3,nonpun,1,need,flour,1
79,238,3,3-b,3,pun,1,need,know,1
79,303,68,3-b,3,depunned,1,need,know,1
80,343,108,3-b,3,nonpun,1,need,make,1
81,343,108,3-b,3,nonpun,1,need,milk,1
82,303,68,3-b,3,depunned,1,need,mothers,1
83,173,173,3-b,3,nonpun,0,need,programmers,1
84,238,3,3-b,3,pun,1,need,recipes,1
84,303,68,3-b,3,depunned,1,need,recipes,1
85,343,108,3-b,3,nonpun,1,need,together,1
86,238,3,3-b,3,pun,1,need,trade,1
86,303,68,3-b,3,depunned,1,need,trade,1
87,409,174,4-a,4,nonpun,1,oar,car,1
88,409,174,4-a,4,nonpun,1,oar,care,1
89,4,4,4-a,4,pun,0,oar,choose,1
89,69,69,4-a,4,depunned,0,oar,choose,1
90,69,69,4-a,4,depunned,0,oar,customer,1
91,109,109,4-a,4,nonpun,0,oar,dipped,1
92,4,4,4-a,4,pun,0,oar,either,1
92,69,69,4-a,4,depunned,0,oar,either,1
93,109,109,4-a,4,nonpun,0,oar,fisherman,1
94,4,4,4-a,4,pun,0,oar,indecisive,1
94,69,69,4-a,4,depunned,0,oar,indecisive,1
95,4,4,4-a,4,pun,0,oar,not,1
95,69,69,4-a,4,depunned,0,oar,not,1
96,409,174,4-a,4,nonpun,1,oar,problems,1
