pairID,uniqueID,sentenceID,homophoneVersion,homophoneID,sentenceType,wordPairVersion,m1,word,m1_relatedness,m2_relatedness,unigram,m1_trigram,m2_trigram
114,21,21,a,21,pun,m1,braille,still,-0.560659136,-0.84409879,0.000580957,0.00315405,0.00315405
115,21,21,a,21,pun,m1,braille,hope,-0.622885758,-0.291239755,0.000138153,8.12E-06,8.12E-06
116,21,21,a,21,pun,m1,braille,out,-0.109953666,1.523096169,0.001586582,0.00285679,0.00285679
117,22,22,a,22,pun,m1,sperm,even,-1.09733531,-1.025309695,0.000706388,3.67E-05,3.67E-05
118,22,22,a,22,pun,m1,sperm,contributes,-0.395011074,-0.491900541,4.36E-06,6.20E-06,6.20E-06
119,22,22,a,22,pun,m1,sperm,either,-0.686619962,-0.686796655,0.000217281,8.01E-05,8.01E-05
120,22,22,a,22,pun,m1,sperm,x,-0.488115664,-1.020847887,5.29E-05,2.09E-05,2.09E-05
121,22,22,a,22,pun,m1,sperm,y,0.630654036,-0.553105246,3.07E-05,0.221515,0.221515
122,22,22,a,22,pun,m1,sperm,chromosome,1.240840569,-0.698370281,3.57E-06,2.63E-06,2.63E-06
123,22,22,a,22,pun,m1,sperm,father,1.214549809,-0.828776304,0.000182887,0.000640227,0.000640227
124,22,22,a,22,pun,m1,sperm,chooses,-0.782835074,-0.649524509,4.79E-06,1.22E-06,1.22E-06
125,22,22,a,22,pun,m1,sperm,sex,1.793568014,0.994719349,6.60E-05,7.33E-05,7.33E-05
126,22,22,a,22,pun,m1,sperm,child,1.20202566,-0.695449385,0.000189301,0.000438705,0.000438705
127,22,22,a,22,pun,m1,sperm,just,-0.705919562,-0.960892804,0.00101403,0.0136544,0.0136544
128,22,22,a,22,pun,m1,sperm,moment,-0.456345808,1.80293771,0.000167247,0.000534063,0.000534063
129,22,22,a,22,pun,m1,sperm,decision,-0.340387368,-0.151593384,0.000133243,4.01E-06,4.01E-06
130,23,23,a,23,pun,m1,grime,children,-0.248805238,-0.807717991,0.000367204,0.00102898,0.00102898
131,23,23,a,23,pun,m1,grime,eat,-0.463720998,-0.777888144,5.87E-05,0.00265646,0.00265646
132,23,23,a,23,pun,m1,grime,washing,0.855460814,-1.022932402,2.05E-05,0.000134518,0.000134518
133,23,23,a,23,pun,m1,grime,hands,0.02573075,-0.192807897,0.000143745,0.282159,0.282159
134,24,24,a,24,pun,m1,epoch,grandparents,-0.140462652,-0.696201398,4.45E-06,3.00E-07,3.00E-07
135,24,24,a,24,pun,m1,epoch,faces,-0.871854252,0.090758841,3.58E-05,3.42E-05,3.42E-05
136,24,24,a,24,pun,m1,epoch,full,-0.531953874,-0.489234324,0.000226792,0.000885939,0.000885939
137,24,24,a,24,pun,m1,epoch,marks,-0.765084941,1.235380646,3.51E-05,2.47E-05,0.412343
138,25,25,a,25,pun,m1,bonus,labored,0.230826751,-0.618125366,2.44E-08,1.99E-05,1.99E-05
139,25,25,a,25,pun,m1,bonus,hard,-0.605434133,0.961548028,0.000179481,0.00275891,0.00275891
140,25,25,a,25,pun,m1,bonus,worked,0.085690978,0.160513752,9.96E-05,0.000743532,0.000743532
141,25,25,a,25,pun,m1,bonus,fingers,-1.042123439,1.111863269,4.40E-05,0.000418514,0.000418514
142,26,26,a,26,pun,m1,hobbit,keep,-0.657583393,0.253686122,0.000216663,3.02E-05,3.02E-05
143,26,26,a,26,pun,m1,hobbit,reading,1.472241225,0.019289278,8.60E-05,0.000565856,0.000565856
144,26,26,a,26,pun,m1,hobbit,the,0.171521965,-1.006811246,0.048626868,0.0283555,0.0283555
145,26,26,a,26,pun,m1,hobbit,lord,0.082779547,-0.696696471,0.000127756,3.55E-05,3.55E-05
146,26,26,a,26,pun,m1,hobbit,rings,0.943917597,-0.566546575,1.24E-05,2.35E-05,2.35E-05
147,26,26,a,26,pun,m1,hobbit,guess,-0.847441127,-0.91851544,2.36E-05,0.00735817,0.00735817
148,26,26,a,26,pun,m1,hobbit,just,-0.869925117,-0.556870298,0.00101403,0.0124207,0.0124207
149,26,26,a,26,pun,m1,hobbit,force,-0.660585383,-0.157900287,0.000125276,2.39E-05,2.39E-05
150,27,27,a,27,pun,m1,screaming,like,-0.89623195,-0.443944792,0.001186943,0.00051742,0.00051742
151,27,27,a,27,pun,m1,screaming,latest,-0.768492084,-0.295271219,5.22E-05,0.000295892,0.000295892
152,27,27,a,27,pun,m1,screaming,horror,1.020541988,0.698420014,1.62E-05,0.000129657,0.000129657
153,27,27,a,27,pun,m1,screaming,movie,0.240603017,1.034326306,1.44E-05,0.00946177,0.00946177
154,27,27,a,27,pun,m1,screaming,i've,-0.83289257,-0.90658766,4.55E-07,2.20E-07,2.20E-07
155,27,27,a,27,pun,m1,screaming,arranged,-0.647822954,-0.404895972,3.19E-05,4.59E-05,4.59E-05
156,27,27,a,27,pun,m1,screaming,private,-0.851442379,0.524680304,0.000141518,0.000404432,0.000404432
157,28,28,a,28,pun,m1,ohms,like,-0.961631853,-0.768492084,0.001186943,0.00051742,0.00051742
158,28,28,a,28,pun,m1,ohms,stay,-0.712045543,-0.916856701,9.63E-05,0.0053027,0.0053027
159,28,28,a,28,pun,m1,ohms,current,0.58262646,-0.83483688,0.000114229,9.64E-06,9.64E-06
160,28,28,a,28,pun,m1,ohms,electrifying,0.982098768,-0.566891594,6.02E-07,5.15E-07,5.15E-07
161,28,28,a,28,pun,m1,ohms,adventures,-0.756463027,0.709295912,4.17E-06,9.92E-06,9.92E-06
162,28,28,a,28,pun,m1,ohms,sherlock,-0.558142296,1.716176025,1.63E-06,0.00439061,0.00439061
163,29,29,a,29,pun,m1,kant,need,-0.768492084,-0.457669333,0.00044508,0.000108456,0.000108456
164,29,29,a,29,pun,m1,kant,philosophy,0.594760077,-0.236775461,2.77E-05,9.38E-05,9.38E-05
165,29,29,a,29,pun,m1,kant,homework,-0.530654244,-0.346031903,6.49E-06,1.64E-06,1.64E-06
166,29,29,a,29,pun,m1,kant,just,-0.747905517,-0.48257104,0.00101403,0.00139074,0.00139074
167,30,30,a,30,pun,m1,tamper,barista,-0.321494003,-0.695418569,8.13E-09,0.00340529,0.00340529
168,30,30,a,30,pun,m1,tamper,not,-0.38436228,-0.883392341,0.00346259,0.021206,0.021206
169,30,30,a,30,pun,m1,tamper,allowed,-0.639302032,-0.675663486,0.000112798,0.00266571,0.00266571
170,30,30,a,30,pun,m1,tamper,make,-0.022103465,-0.513919625,0.000621074,0.0147865,0.0147865
171,30,30,a,30,pun,m1,tamper,espresso,-0.688232969,-1.010664532,2.03E-07,2.64E-08,2.64E-08
172,30,30,a,30,pun,m1,tamper,lose,-0.42506412,0.744520944,5.06E-05,0.00232544,0.00232544
173,31,31,a,31,pun,m1,latte,spend,-0.045615681,-0.281561419,5.89E-05,0.000690856,0.000690856
174,31,31,a,31,pun,m1,latte,time,-0.947835339,1.200496854,0.001239318,0.023436,0.023436
175,31,31,a,31,pun,m1,latte,coffee,1.838535291,-0.164915081,5.04E-05,0.000118945,0.000118945
176,31,31,a,31,pun,m1,latte,shop,0.099673274,0.147724513,8.38E-05,0.0493358,0.0493358
177,31,31,a,31,pun,m1,latte,you'll,-1.033399543,-0.466902009,1.79E-07,6.78E-06,6.78E-06
178,31,31,a,31,pun,m1,latte,work,-0.262727015,0.676276652,0.000718337,0.00111282,0.073073
179,32,32,a,32,pun,m1,libel,write,0.253432196,-0.518143508,8.56E-05,0.00176126,0.00176126
180,32,32,a,32,pun,m1,libel,bad,0.434544881,0.213244842,0.000120326,8.65E-05,8.65E-05
181,32,32,a,32,pun,m1,libel,things,-0.783779476,-0.674633301,0.000325892,0.00745375,0.00745375
182,32,32,a,32,pun,m1,libel,sue,1.702812138,1.03866012,1.88E-05,0.000210366,7.30E-05
183,33,33,a,33,pun,m1,tryst,novel,-0.740461126,0.713492747,3.32E-05,0.000288953,0.000288953
184,33,33,a,33,pun,m1,tryst,unexpected,-0.384531457,1.62548606,1.64E-05,0.000580858,0.000580858
185,33,33,a,33,pun,m1,tryst,secret,0.203059995,0.264869073,4.47E-05,1.97E-05,1.97E-05
186,33,33,a,33,pun,m1,tryst,meeting,0.283346607,-0.713061639,0.000165076,0.000993658,0.000993658
187,33,33,a,33,pun,m1,tryst,lovers,1.09218497,-0.605937267,8.89E-06,9.77E-06,9.77E-06
188,33,33,a,33,pun,m1,tryst,plot,-0.620082612,0.655905037,1.67E-05,0.000262666,0.000262666
189,34,34,a,34,pun,m1,propane,inflammatory,0.524274451,0.537788401,5.51E-06,3.36E-07,3.36E-07
190,34,34,a,34,pun,m1,propane,talk,-0.820549264,0.638659276,0.000130365,3.26E-05,3.26E-05
191,34,34,a,34,pun,m1,propane,seen,0.298342534,-0.431107244,0.000293376,0.0144932,0.0144932
192,34,34,a,34,pun,m1,propane,language,-0.975849504,0.813567976,0.000150273,7.13E-05,0.00365472
193,35,35,a,35,pun,m1,leafing,john,-0.930865719,-0.732594277,0.000260186,6.39E-07,6.39E-07
194,35,35,a,35,pun,m1,leafing,plans,0.664976109,0.076967923,9.28E-05,0.000112502,0.000112502
195,35,35,a,35,pun,m1,leafing,retire,-1.00566682,0.641089708,8.66E-06,0.00319328,0.00319328
196,35,35,a,35,pun,m1,leafing,spring,0.557250604,-0.511549743,4.70E-05,0.00124322,0.00124322
197,35,35,a,35,pun,m1,leafing,like,-0.660585383,0.082140175,0.001186943,0.0124801,0.0124801
198,35,35,a,35,pun,m1,leafing,trees,1.209997602,-0.476044827,6.48E-05,0.000232797,0.000232797
199,36,36,a,36,pun,m1,yams,just,-0.768492084,-0.934888345,0.00101403,0.000159739,0.000159739
200,36,36,a,36,pun,m1,yams,time,-0.981517464,0.021541304,0.001239318,0.212782,0.212782
201,36,36,a,36,pun,m1,yams,thanksgiving,1.212957909,-0.425702503,1.50E-06,6.95E-08,6.95E-08
202,36,36,a,36,pun,m1,yams,blockbuster,-0.820549264,-0.872240425,9.02E-07,9.10E-06,9.10E-06
203,36,36,a,36,pun,m1,yams,movie,-0.711983357,-0.097078622,1.44E-05,0.0026432,0.0026432
204,36,36,a,36,pun,m1,yams,sweet,0.677385511,0.053858171,2.80E-05,5.32E-06,5.32E-06
205,36,36,a,36,pun,m1,yams,potatoes,1.353283713,-0.268920404,1.28E-05,0.00676358,0.00676358
206,36,36,a,36,pun,m1,yams,called,-0.773975142,-0.629178616,0.00026112,0.000356792,0.000356792
207,36,36,a,36,pun,m1,yams,the,-0.554968549,-0.643381484,0.048626868,0.152051,0.152051
208,36,36,a,36,pun,m1,yams,silence,-0.93384429,0.490500931,4.39E-05,7.33E-05,7.33E-05
209,37,37,a,37,pun,m1,tolkien,night,-0.421807519,-0.284385257,0.00028189,0.276901,0.276901
210,37,37,a,37,pun,m1,tolkien,kept,-0.910268591,-0.487771094,0.000109856,1.09E-05,1.09E-05
211,37,37,a,37,pun,m1,tolkien,dreaming,-0.13577103,-0.35620347,6.31E-06,4.30E-05,4.30E-05
212,37,37,a,37,pun,m1,tolkien,written,0.446306691,0.657206796,0.000107783,0.00212419,0.00212419
