sentenceID,targetWord,m1_trigram,m2_trigram,dummy
234,reams,4.10E-07,1.09E-06,1
235,seized,2.34E-06,1.96E-06,1
236,authors,0.000133467,4.62E-05,1
237,source,0.000188512,2.98E-05,1
238,paste,2.13E-07,7.44E-07,1
239,espresso,3.46E-06,0.00322565,1
240,scent,3.79E-05,3.79E-05,1
241,lines,0.000556492,3.04E-05,1
242,truth,0.133294,1.74E-05,1
243,sillier,1.34E-07,3.10E-07,1
244,hair,1.23E-05,1.92E-06,1
245,closing,4.87E-06,4.58E-05,1
246,ambulance,0.000509391,5.17E-08,1
247,purchase,0.000648637,2.75E-08,1
248,reward,7.76E-05,5.31E-09,1
249,mass,0.000193701,5.35E-08,1
250,steeler,1.21E-09,6.48E-09,1
251,wicked,4.37E-05,1.66E-05,1
252,special,0.00274502,1.93E-05,1
253,world,0.0901827,2.60E-07,1
254,scissors,0.000107371,1.93E-08,1
255,lunch,0.215645,4.00E-05,1
256,blue,6.06E-06,3.34E-07,1
257,free,0.000503773,8.26E-06,1
258,feelings,0.000434679,2.94E-06,1
259,salvation,6.56E-06,4.64E-07,1
260,office,0.000628726,3.40E-07,1
261,bail,1.36E-05,2.15E-06,1
262,spur,0.000309299,3.89E-06,1
263,crime,0.00191093,6.74E-07,1
264,pock,2.91E-08,7.64E-07,1
265,bones,7.76E-05,5.29E-06,1
266,habit,0.0105918,2.68E-08,1
267,screening,5.38E-06,4.90E-06,1
268,holmes,0.0576145,2.61E-06,1
269,can't,0.00229883,0.00357293,1
270,temper,0.0060875,1.30E-07,1
271,late,0.000441972,0.000722977,1
272,liable,0.000405071,9.81E-07,1
273,twisted,1.73E-06,0.00357293,1
274,profane,6.46E-07,3.19E-07,1
275,leaving,0.000654925,1.74E-07,1
276,lamb,0.0497324,0.0497324,1
277,talking,0.000778921,0.00465125,1
278,magnet,1.20E-05,1.58E-06,1
279,raving,9.94E-06,7.82E-06,1
280,alcohol,1.58E-06,1.92E-07,1
281,slave,6.30E-05,4.28E-06,1
282,aching,2.28E-06,0.00288397,1
283,irritation,0.0068983,9.36E-07,1
284,ante,3.26E-06,1.91E-07,1
285,future,0.00507868,9.09E-08,1
286,tells,0.000227951,1.11E-07,1
287,how's,1.32E-07,0.000183176,1
288,fire,0.0028206,0.00205684,1
289,help,0.000898739,2.92E-08,1
290,guarding,4.96E-06,2.93E-06,1
291,been,0.26151,4.16E-07,1
292,order,0.0192735,3.22E-06,1
293,lot,0.152071,6.39E-07,1
294,best,0.0163309,3.03E-06,1
295,crack,5.03E-05,6.58E-06,1
296,lag,2.33E-06,3.96E-05,1
297,decay,0.0289135,5.33E-06,1
298,traumatic,0.000446438,0.000803872,1
299,traumatic,4.01E-06,1.11E-08,1
300,hostile,4.16E-05,1.86E-08,1
301,doubling,9.25E-07,2.07E-09,1
302,prison,0.0335217,5.19E-08,1
303,bridge,0.00267278,3.68E-05,1
304,chief,0.00092703,6.15E-05,1
305,resolution,7.68E-05,3.57E-05,1
306,pants,0.00187362,0.000140375,1
307,insider,3.33E-07,4.75E-08,1
308,minds,0.000510819,1.23E-05,1
309,littering,1.09E-07,4.16E-07,1
310,attitude,9.25E-05,4.80E-07,1
311,presents,0.014896,4.01E-05,1
312,next,0.00325542,8.03E-06,1
313,destruction,0.000251562,3.81E-06,1
314,cream,8.21E-06,4.19E-08,1
315,see,0.0230716,0.00033102,1
316,offer,0.000262133,4.45E-06,1
317,sauce,0.00683054,2.53E-05,1
318,pays,0.000317417,1.24E-06,1
319,express,0.000224051,2.02E-08,1
320,sense,0.00217715,3.60E-07,1
